model,gene_region,observed_time_since_infection,model_derived_time_since_infection_mean,model_derived_time_since_infection_0.055_quantile,model_derived_time_since_infection_0.945_quantile
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,8.04102947901733,-0.0850823993924332,1.41360320073394
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,9.56440166951893,-0.133106351730097,1.74496076517501
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),18,11.9250408422092,-0.11201372900072,2.10733324664214
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),18,15.910265043232,0.179841205384088,2.49654554686284
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),3,3.5560818029491,-0.267463754167554,0.853482573428713
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),3,3.32176099963678,-0.295894194665918,0.854461313908593
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12,5.42009796380576,-0.195227217198445,1.09314437606317
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,6.37555520313179,-0.124395441929575,1.18776825290297
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),24,9.68226105464072,0.0163882488292503,1.60044878736262
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),24,9.01234297646525,-0.0717767436142117,1.55977114116012
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),24,13.2351862120901,-0.0394572108478472,2.24154919648242
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,16.9028869619918,0.016807348668626,2.82980311478927
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),10.54,0.680309032933517,-0.474889293815456,0.58418134729408
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1.54,2.77556760975524,-0.332737370340716,0.798712327807386
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.54,2.49074826638791,-0.356473291911667,0.772532165700686
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),13.54,7.97432827181016,-0.0733019942177379,1.39987685253235
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),13.54,6.43633237121262,-0.205043625157456,1.27678777501424
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),9,12.2800414808196,0.0723251831450973,1.96945194637899
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),9,9.89338292112167,-0.14438413744381,1.81316165606751
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),9,14.8614978589527,0.0600939139141393,2.40800981286434
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),15,18.6490165980836,0.239957206911664,2.85866560502643
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),15,14.8243494321196,-0.102519252346329,2.56491713029598
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),24,15.0381042998657,-0.0938555388380596,2.61118078206131
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),24,25.5139601909436,0.399003472065724,3.83589749839391
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),15,24.8799999163913,0.239949661257061,3.90433168871724
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),24,29.3153091949095,0.307727344071913,4.57106198220413
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),3,2.38327743485734,-0.370563828894945,0.76459696117504
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),3,2.75372630186114,-0.337228629613661,0.791949274186147
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),3,4.0280608127188,-0.297430528915308,0.970725568756768
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),9,4.44691622021669,-0.279043501841963,1.02408226639018
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),18,5.91431583808644,-0.167018059121109,1.14825282010025
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),9,6.18756824092808,-0.184273756335406,1.21428002242248
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),9,8.8259201473391,-0.0358314422396892,1.51427899643402
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),18,10.7008952872471,-0.0393233254208293,1.83619003888578
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),18,11.2004812633913,-0.101418246058404,1.97275910940942
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),13.06,2.19341416872774,-0.312769437581328,0.678217983135506
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),4.06,2.21338182420617,-0.317037115841666,0.683650711537884
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),19.06,2.9173246583567,-0.287219678252769,0.777921385565012
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),13.06,4.63739798509895,-0.202895547125403,0.967659825248194
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),13.06,5.41910714310127,-0.196427407963219,1.10343179969731
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),4.06,6.04033971783922,-0.152453215747082,1.14473737299451
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),19.06,8.23478025583732,-0.0235748653061671,1.39465573725254
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),19.06,8.11005866072165,-0.0813396562901078,1.43774209687522
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),4.06,20.8646557180168,0.017912226824323,3.49683966846078
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1,1.20243854636539,-0.455003125469348,0.649012589631998
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1,2.18465236065146,-0.38322761518212,0.751869401608584
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1,2.76077662906611,-0.337059033022384,0.795797829135913
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),9,4.57316415271602,-0.242973888189936,0.98390211614533
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),9,6.99866728664259,-0.157482573767272,1.32714351725473
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),15,9.60649661939093,-0.0186682324051987,1.61672949702205
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),9,10.9674002181718,-0.0970762374998643,1.93325011106482
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),15,11.8903400946509,-0.0923214119671772,2.06717703215804
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,4.28240240396611,-0.25206246110002,0.962962419435296
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,4.97510622354193,-0.269484630140544,1.11021537315878
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,5.90344092054384,-0.207136332332077,1.18216850351501
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,7.28642304832574,-0.198788605140833,1.41990162312851
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12,10.9096055544712,-0.0490349016133313,1.86287599449072
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,12.4236684387667,0.0737759939418431,1.9961277117794
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),15,10.358407799883,-0.138858443026965,1.87525872235197
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),15,15.124101316772,0.166003616128031,2.35768486789555
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),15,13.4957271975934,0.0114079795186941,2.25215958079895
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),5.94,7.15339698136757,-0.104040842462375,1.29281222730064
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),5.94,6.81715037995771,-0.158544408431117,1.29120846722111
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),11.94,8.14789906401855,-0.0639503045528999,1.42193909706099
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),11.94,7.75184724512967,-0.127686728843345,1.41796929868065
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),17.94,11.4742363785431,-0.031749032010815,1.95565628298693
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),17.94,18.9755957281751,0.260989058746907,2.91195457795981
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),5.94,16.1489492260378,-0.0387456513938818,2.74436168776873
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),17.94,16.1506949733105,-0.0282071651737806,2.7345232616292
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),11.94,18.808641672958,-0.0135917332643453,3.15036890882549
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,8.77034476500586,-0.0369473164324349,1.49381136433423
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1,8.87026337375144,-0.0309691802802261,1.49994178021984
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,12.7472884465756,0.11142611163177,2.01538046438291
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1,14.4740663091856,0.0871444836288837,2.32860624217188
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1,13.6466785768499,-0.0419361420979187,2.32428205621938
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,14.4311281267926,-0.0111986069834675,2.43523625779073
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,16.8004886200582,0.127754278648502,2.67338313156584
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,17.8632081922362,0.0180178450944933,2.96906425357776
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12,21.3073017495168,0.224898398666399,3.34401374369695
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),4.49,0.821657887317962,-0.478229552890506,0.609748254865684
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.49,2.81347388753051,-0.349755990216576,0.817825276410346
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1.49,4.37873157978656,-0.252480263569455,0.988318051136737
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),4.49,6.39476023922306,-0.138021957089958,1.20645819921803
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1.49,7.02607674466009,-0.100369367369053,1.28702504096861
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),4.49,7.2588993254559,-0.182011640248826,1.38880604440888
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,12.1976345008745,0.0772827055004343,1.94834872810093
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,12.4257763366444,0.0828566751113016,1.98799321515185
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),18,19.2529513871482,0.271686949645839,2.93806790906386
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12,18.6493669524873,0.141959968946811,2.97096827481548
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),18,19.1218652505971,0.0417519159103353,3.16871503657467
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,21.9687868690069,0.206220016330894,3.47372944954452
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),18,25.1439153936422,0.264870741335927,3.94999084089497
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,25.1777462898696,0.0840089985661911,4.116172055807
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,25.9703946699103,0.103514634066953,4.26313811719156
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1.06,2.10143735752524,-0.373774077955634,0.731936573863479
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1.06,5.17574792907045,-0.190235212674853,1.06412710678854
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.06,6.92878225350801,-0.193029837921283,1.36194767028887
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),10.06,11.2105577234899,-0.107837888149957,1.98425463949354
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),22.06,21.7402058708209,-0.00870623246126811,3.65721319438595
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),22.06,26.7620851888275,0.264809198747362,4.23662702154407
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),21.96,0.953687873295281,-0.435757562590952,0.59338023734197
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6.96,1.17801824714985,-0.425451850001412,0.617331148449314
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6.96,10.6982600585213,0.053447327684684,1.72368459439251
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12.96,9.15903467916636,-0.0745938057160569,1.59858507268009
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6.96,11.1885079996211,-0.022611508709137,1.90731588304799
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12.96,17.3828739574368,0.254872378388249,2.63585030506445
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12.96,16.7495549568477,-0.0257808705089497,2.83076975780359
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),21.96,22.0997452109589,0.187371994370323,3.51660754478468
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),21.96,32.3903362376864,0.643373776229057,4.75323288414577
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),13.52,5.43950378382717,-0.192919365573555,1.09940314630952
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),19.52,5.05048844019431,-0.225722021773642,1.07628325661602
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),13.52,6.44431071692542,-0.183494374221599,1.25887343160844
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6.55,5.5522541614097,-0.219173190138709,1.14041925615152
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6.55,7.88164277723012,-0.106492014522275,1.40937899132555
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12.55,12.2830829666298,-0.0769010627748111,2.11959082026525
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.55,19.9384880724772,0.0116308979045388,3.3279768657146
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),7.06,6.07856176955839,-0.165344130319802,1.18082264198676
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),7.06,7.9391565150513,-0.0600520149482629,1.37977020748385
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),1.06,8.74413914542576,-0.0256697901126827,1.48346303851677
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),1.06,7.94638125444118,-0.0995410555975832,1.43154474207311
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),19.06,14.998311043188,0.172394133611783,2.31970998782086
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),19.06,14.6887439436863,0.0855405481479039,2.37605618994593
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),7.06,13.9152258677239,-0.00619715728961911,2.33166287422277
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),1.06,16.7477437092196,0.0348446682775562,2.74672141708283
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),19.06,48.9202623593411,0.378917528291074,Inf
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),24,1.1279388432876,-0.413996132075212,0.60122552044014
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,11.8979592694799,-0.0599871108871932,2.05968778803799
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,16.5898077957391,0.242585889183863,2.52192929587396
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,20.7585273673282,0.356331084087273,3.12152402053759
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,17.8471462558709,0.0180352022229737,2.9795579308982
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,22.7964324388258,0.274824940389453,3.56327731694489
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),6,4.01450358098858,-0.25977494528279,0.925443644533344
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),6,4.04576207786188,-0.279350967989352,0.945994412678516
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),6,4.9731714045205,-0.260411209749995,1.09040229213002
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),12,8.60181675265832,-0.160393021667415,1.58901619247644
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),24,15.618437515957,0.160550118425123,2.43013725394087
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),12,13.9036047501304,0.0201918947569476,2.29893778886693
"infant-trained
hierarchical
model (Laplace)",gene region 3 (within pol),12,16.3269024405962,0.17253684689773,2.53547873089965
"infant-trained
hierarchical
model (Laplace)",gene region 2 (within pol),24,20.2394588370379,0.12377120362626,3.25021610932012
"infant-trained
hierarchical
model (Laplace)",gene region 1 (within gag),24,23.4433180560883,-0.00538863935029298,3.91444057392178
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),6,2.49247057167404,-0.597429610397035,1.01388530895007
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),6,3.81281447434028,-0.491400939823803,1.12171948981205
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),16,5.68853269219426,-0.363414567537375,1.31179662447333
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),6,5.45399192235332,-0.409448235692851,1.30703288376839
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),21,6.47282015224871,-0.310421813637761,1.38442753369993
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),16,6.64049689747345,-0.341184424973695,1.43826174081626
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),16,8.08575326498904,-0.317115019091638,1.67163860581001
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),21,11.7686072583591,-0.0981203018607487,2.06026665247505
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),21,11.2801241538295,-0.186735085640769,2.0907665047874
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),0.93,0.231462042505719,-0.77740334378205,0.810999392182647
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),0.93,12.6189971436014,-0.146110089611179,2.27673462748628
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),3.93,18.3388459763441,0.306291284168123,2.7455723580228
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),0.93,19.4220223478419,0.358380125604901,2.87009947256514
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),3.93,17.5211613737035,0.145773316381649,2.77570861968883
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),9.93,22.749842667668,0.323893208211268,3.4903897543868
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),9.93,28.7666752849852,0.753551562752467,4.03991159043796
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),3.93,31.1784499435276,0.285311659665729,4.97384052956123
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),9.93,38.8099882656988,0.435259589886896,Inf
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),1.51,6.36443525504026,-0.316606497421399,1.39217311009999
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),4.51,10.6753025553348,-0.0805326383522051,1.8519484623506
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),1.51,15.8684559032343,-0.0353964819116336,2.70449179390866
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),4.51,16.6163103928809,-0.0196962688041541,2.81200339459437
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),4.51,20.3575010447239,0.26492812358032,3.14659061748377
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),1.51,22.0039857378455,0.334801838506845,3.36403723230296
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),6,3.98158773589081,-0.483278848485369,1.15458787184131
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),6,4.66758325027436,-0.480186135876759,1.26369148137287
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),12,8.04608408699662,-0.249422784913306,1.58732087131755
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),12,8.80053743638896,-0.30750048336943,1.78387699424346
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),18,11.0647073266969,-0.261933340650393,2.098783391304
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),18,16.0368767085601,0.121600520510008,2.54996013992638
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),3,3.6076931152759,-0.490544595567094,1.08283157642494
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),3,3.09297752279236,-0.530201906615853,1.05190650342706
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),12,5.34543238051552,-0.394169836137799,1.28133702686573
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),12,6.41320520924258,-0.310968101828176,1.38594206724865
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),24,9.80251514482109,-0.127543640299072,1.7575741843537
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),24,8.81293169494617,-0.215736273472114,1.68777493827824
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),24,12.4701379471205,-0.180566875298719,2.24798620319073
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),12,15.8695509497485,-0.0933755810304852,2.76311835161923
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),10.54,0.635167126525498,-0.725898905248217,0.822380234980567
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),1.54,2.7430998410317,-0.571318405115411,1.02060380714125
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),1.54,2.29828548186374,-0.59750572558251,0.973877171390202
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),13.54,8.09604048996436,-0.240888419321988,1.58073352404964
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),13.54,5.98600407358115,-0.415850162254134,1.41301950985187
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),9,12.4120541121417,-0.0255066812747922,2.07789378674135
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),9,9.10998309557107,-0.319323754747035,1.84900219013338
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),9,14.4584714005567,-0.0222574243700799,2.43113447304101
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),15,18.772912609985,0.222728854533927,2.91659004777861
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),15,13.6401926741767,-0.218428266197586,2.48850849793388
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),24,13.8487317000008,-0.208109145814165,2.53186424645121
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),24,25.7195859758419,0.469599850673809,3.82123487827077
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),15,24.1761388257449,0.26007873735362,3.80477946044374
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),24,28.5025068548657,0.343304526010753,4.41989594910075
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),3,2.33063642530904,-0.611064473478041,0.991415712038699
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),3,2.74264617354815,-0.571100273293098,1.02902365394322
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),3,3.69579454450561,-0.529094067495984,1.15280276388913
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),9,4.08535534124395,-0.504954157854608,1.1939797661694
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),18,5.91783677918961,-0.367095059055682,1.34041999579495
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),9,6.04315485499853,-0.379652048505781,1.38458349196047
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),9,8.81762011457657,-0.193772482655408,1.65908059847546
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),18,10.4620676780269,-0.166918003028818,1.90603160664652
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),18,10.3607014483871,-0.248181286811363,1.97161046486099
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),13.06,2.22786908099929,-0.527418456502611,0.900939561798637
"infant-trained
hierarchical
model (Normal)",gene region 3 (within pol),4.06,2.25348303636892,-0.528266729094897,0.904182557592879
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),19.06,2.81004402404866,-0.496811549012599,0.978315374457895
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),13.06,4.60322434122293,-0.39855455975887,1.15916290003168
"infant-trained
hierarchical
model (Normal)",gene region 1 (within gag),13.06,5.18946603989252,-0.385859852164396,1.25987278435157
"infant-trained
hierarchical
model (Normal)",gene region 2 (within pol),4.06,5.993937699754,-0.329718565196699,1.31474972594146
